Property Sub Type,Close$/SqFt,Close_Year,Close_Month,close_month_index,Close Date,SqFt,# Beds
Condominium,1.6,2019,8,20,8/30/19,516.0,1.0
Condominium,1.6,2019,8,20,8/1/19,516.0,1.0
Condominium,1.01,2019,8,20,8/24/19,887.0,2.0
Duplex,0.57,2019,8,20,8/22/19,1830.0,2.0
Condominium,1.05,2019,8,20,8/8/19,1004.0,2.0
Condominium,1.33,2019,8,20,8/10/19,791.0,1.0
Quadruplex,1.05,2019,8,20,8/31/19,1000.0,2.0
Duplex,0.58,2019,8,20,8/1/19,1824.0,2.0
Quadruplex,1.07,2019,8,20,8/9/19,1031.0,2.0
Quadruplex,0.25,2019,8,20,8/1/19,4330.0,2.0
Condominium,1.25,2019,8,20,8/19/19,918.0,2.0
Duplex,1.27,2019,8,20,8/1/19,923.0,2.0
Duplex,1.33,2019,8,20,8/1/19,900.0,2.0
Duplex,1.12,2019,8,20,8/15/19,1064.0,2.0
Condominium,1.28,2019,8,20,8/11/19,930.0,2.0
Duplex,1.39,2019,8,20,8/1/19,890.0,2.0
Duplex,1.4,2019,8,20,8/9/19,889.0,2.0
Duplex,0.7,2019,8,20,8/19/19,1777.0,2.0
Duplex,0.63,2019,8,20,8/10/19,1980.0,3.0
Duplex,0.59,2019,8,20,8/11/19,2120.0,2.0
Condominium,1.29,2019,8,20,8/9/19,968.0,2.0
Duplex,0.63,2019,8,20,8/9/19,1980.0,3.0
Duplex,0.7,2019,8,20,8/24/19,1774.0,2.0
Duplex,0.7,2019,8,20,8/9/19,1780.0,2.0
Duplex,0.78,2019,8,20,8/5/19,1606.0,2.0
Duplex,0.66,2019,8,20,8/15/19,1953.0,2.0
Duplex,1.15,2019,8,20,8/16/19,1129.0,2.0
Duplex,1.46,2019,8,20,8/9/19,888.0,2.0
Duplex,1.48,2019,8,20,8/15/19,876.0,2.0
Duplex,0.68,2019,8,20,8/1/19,1920.0,2.0
Duplex,1.46,2019,8,20,8/10/19,889.0,2.0
Duplex,1.46,2019,8,20,8/2/19,892.0,2.0
Duplex,1.4,2019,8,20,8/5/19,928.0,2.0
Condominium,1.4,2019,8,20,8/1/19,963.0,3.0
Duplex,0.74,2019,8,20,8/1/19,1824.0,3.0
Condominium,1.34,2019,8,20,8/1/19,1042.0,2.0
Condominium,1.26,2019,8,20,8/24/19,1107.0,2.0
Condominium,1.39,2019,8,20,8/15/19,1042.0,2.0
Duplex,0.65,2019,8,20,8/14/19,2258.0,3.0
Townhouse,1.21,2019,8,20,8/29/19,1237.0,3.0
Single Family Resi,1.27,2019,8,20,8/31/19,1173.0,3.0
Duplex,1.08,2019,8,20,8/10/19,1385.0,3.0
Single Family Resi,1.41,2019,8,20,8/31/19,1065.0,3.0
Single Family Resi,1.18,2019,8,20,8/2/19,1275.0,3.0
Single Family Resi,1.49,2019,8,20,8/2/19,1058.0,3.0
Single Family Resi,1.23,2019,8,20,8/1/19,1301.0,3.0
Single Family Resi,0.93,2019,8,20,8/21/19,1710.0,3.0
Single Family Resi,1.13,2019,8,20,8/22/19,1435.0,3.0
Single Family Resi,1.22,2019,8,20,8/19/19,1336.0,3.0
Single Family Resi,1.03,2019,8,20,8/20/19,1584.0,4.0
Single Family Resi,1.32,2019,8,20,8/8/19,1250.0,4.0
Single Family Resi,1.3,2019,8,20,8/15/19,1306.0,3.0
Single Family Resi,1.8,2019,8,20,8/15/19,944.0,4.0
Single Family Resi,1.1,2019,8,20,8/24/19,1592.0,3.0
Single Family Resi,1.37,2019,8,20,8/18/19,1366.0,3.0
Single Family Resi,1.27,2019,8,20,8/6/19,1492.0,3.0
Single Family Resi,1.23,2019,8,20,8/21/19,1548.0,4.0
Single Family Resi,0.66,2019,8,20,8/22/19,3009.0,4.0
Single Family Resi,1.24,2019,8,20,8/21/19,1657.0,3.0
Single Family Resi,1.01,2019,8,20,8/1/19,2080.0,3.0
