Property Sub Type,Close$/SqFt,Close_Year,Close_Month,close_month_index,Close Date
Quadruplex,1.04,2019,8,20,8/21/19
Single Family Resi,1.68,2019,8,20,8/28/19
Single Family Resi,0.49,2019,8,20,8/1/19
Apartment,1.52,2019,8,20,8/1/19
Condominium,1.09,2019,8,20,8/1/19
Duplex,0.7,2019,8,20,8/24/19
Duplex,0.93,2019,8,20,8/26/19
Condominium,1.13,2019,8,20,8/30/19
Duplex,1.59,2019,8,20,8/5/19
Condominium,1.84,2019,8,20,8/16/19
Apartment,1.5,2019,8,20,8/1/19
Quadruplex,0.31,2019,8,20,8/19/19
Single Family Resi,1.75,2019,8,20,8/17/19
Duplex,1.43,2019,8,20,8/28/19
Single Family Resi,1.61,2019,8,20,8/1/19
Single Family Resi,1.25,2019,8,20,8/18/19
Single Family Resi,1.78,2019,8,20,8/1/19
Duplex,1.6,2019,8,20,8/1/19
Single Family Resi,2.12,2019,8,20,8/20/19
Single Family Resi,2.16,2019,8,20,8/5/19
Single Family Resi,2.36,2019,8,20,8/15/19
Single Family Resi,1.29,2019,8,20,8/15/19
Duplex,1.34,2019,8,20,8/31/19
Single Family Resi,1.4,2019,8,20,8/8/19
Single Family Resi,0.73,2019,8,20,8/6/19
Single Family Resi,1.54,2019,8,20,8/15/19
Single Family Resi,1.31,2019,8,20,8/1/19
Single Family Resi,2.2,2019,8,20,8/9/19
Single Family Resi,1.14,2019,8,20,8/10/19
Single Family Resi,1.39,2019,8,20,8/3/19
Single Family Resi,1.99,2019,8,20,8/19/19
Single Family Resi,1.19,2019,8,20,8/24/19
Single Family Resi,1.45,2019,8,20,8/1/19
Duplex,1.15,2019,8,20,8/2/19
Single Family Resi,1.78,2019,8,20,8/28/19
Single Family Resi,2.92,2019,8,20,8/9/19
Single Family Resi,2.11,2019,8,20,8/23/19
Single Family Resi,1.27,2019,8,20,8/9/19
Condominium,1.6,2019,8,20,8/2/19
Single Family Resi,1.45,2019,8,20,8/26/19
Single Family Resi,1.27,2019,8,20,8/19/19
Single Family Resi,1.57,2019,8,20,8/12/19
Duplex,0.77,2019,8,20,8/14/19
Single Family Resi,1.21,2019,8,20,8/17/19
Single Family Resi,1.27,2019,8,20,8/20/19
Single Family Resi,1.9,2019,8,20,8/4/19
Single Family Resi,1.41,2019,8,20,8/29/19
Townhouse,1.35,2019,8,20,8/26/19
Single Family Resi,1.52,2019,8,20,8/1/19
Single Family Resi,1.82,2019,8,20,8/14/19
Condominium,1.7,2019,8,20,8/1/19
